Hate words,Why Hate?,Offensive words,Why offensive?
Arna,discrimination based on religion,Yan bidi'a,insulting
Yahudawa,discrimination based on race,Akuya,comparison to animal
Yahudu,discrimination based on race,Jakai,comparison to animal
Kafirai,discrimination based on religion,Dabba,comparison to animal
Kafurai,discrimination based on religion,Karnuka,comparison to animal
Mushirikai,discrimination based on religion,Birai,comparison to animal
Mushurikai,discrimination based on religion,Tunkiya,comparison to animal
Maguzawa,discrimination based on religion,Shegu,insulting
Kabila ,discrimination based on tribe,Yan iska,insulting
Inyamirai,disrimination based on tribe. ,Matsiyata,insulting
Inyamurai,disrimination based on tribe. could also be neutral,Tsinannu,insulting
Arne,discrimation based on religion,Munafikai,insulting
Bayahude,discrimination based on race,Yan kutumar uba,insulting
Kafiri,discrimination based on race,Talakawa,insulting
Kafuri,discrimination based on race,Barayi,insulting
Mushiriki,discrimination based on race,Marasa hankali,insulting
Mushuriki,discrimination based on race,Sakarkaru,insulting
Bamaguje,discrimination based on race,Sususai,insulting
Dan izala,discriminatory/neutral,Sokwaye,insulting
Dan shi'a,discriminatory/neutral,Shashasai,insulting
Dan darika,discriminatory/neutral,Kidahumai,insulting
Inyamiri,discriminatory/neutral,Marasa Asali,insulting
Inyamuri,discriminatory/neutral,Dolaye,insulting
Almajiri,discriminatory/neutral,Wawaye,insulting
Arniya,discriminatory/neutral,Jahilai,insulting
Bayahudiya,discriminatory/neutral,Dakikai,insulting
Kafira,discriminatory/neutral,Mahaukata,insulting
Kafura,discriminatory/neutral,Karuwai,insulting
Mushirika,discriminatory/neutral,Yan bariki,insulting
Mushurika,discriminatory/neutral,Yan tasha,insulting
Bamagujiya,discriminatory/neutral,Munana,insulting
Yar izala,discriminatory/neutral,Daqiqai,insulting
Yar shi'a,discriminatory/neutral,Guntaye,insulting
Yar darika,discriminatory/neutral,Garori,insulting
Inyamira,discriminatory/neutral,Yan wahala,insulting
Inyamura,discriminatory/neutral,Yan duniya,insulting
,,Yan daudu,insulting
,,Kazamai,insulting
,,Agololi,insulting
,,Yan jagaliya,insulting
,,Ajawo,insulting
,,Yan ta'adda,insulting
,,Yan kauye,insulting
,,Gidadawa,insulting
,,Malalata,insulting
,,Marowata,insulting
,,Hannun jarirai,insulting
,,Bakin haure,insulting
,,Dan bidi'a,insulting
,,Jaki,comparison to animal
,,Kare,comparison to animal
,,Biri,comparison to animal
,,Shege,insulting
,,Dan Kwalta,insulting
,,Dan iska,insulting
,,Matsiyaci,insulting
,,Tsinanne,insulting
,,munafiki,insulting
,,Dan kutumar uba,insulting
,,Waada,insulting
,,Talaka,insulting
,,Dan mace,insulting
,,Barawa,insulting
,,Marar hankali,insulting
,,Tasono,insulting
,,Sakarai,insulting
,,Sususu,insulting
,,soko,insulting
,,Shashasha,insulting
,,Banza,insulting
,,kidahumi,insulting
,,Marar Asali,insulting
,,Dolo,insulting
,,Wawa,insulting
,,Jahili,insulting
,,Dan akuya,insulting
,,Dakiki,insulting
,,Sauna,insulting
,,Sabalikita,insulting
,,Mahaukaci,insulting
,,Dan bariki,insulting
,,Dan tasha,insulting
,,Mummuna,insulting
,,Daqiqi,insulting
,,Guntu,insulting
,,Gara,insulting
,,Dan wahala,insulting
,,Dan duniya,insulting
,,Baho,insulting
,,Gaja,insulting
,,Awon igiya,insulting
,,Dan daudu,insulting
,,Kazami,insulting
,,Tunkuza,insulting
,,Agola,insulting
,,Dan shegiya,insulting
,,Dan Jahgaliya,insulting
,,Dan ta'adda,insulting
,,Dan akuya,insulting
,,Dan kauye,insulting
,,Alade,insulting
,,Bagidaje,insulting
,,Malalci,insulting
,,Marowaci,insulting
,,Bakon haure,insulting
,,Dan baki,insulting
,,Duna,insulting
,,Yar bidi'a,insulting
,,Jaka,insulting
,,Karya,insulting
,,Shegiya,insulting
,,Yar Kwalta,insulting
,,Yar iska,insulting
,,Matsiyaciya,insulting
,,Tsinanniya,insulting
,,Munafika,insulting
,,Yar kutumar uba,insulting
,,Karuwa,insulting
,,Yar mace,insulting
,,Barauniya,insulting
,,Sakara,insulting
,,Susuwa,insulting
,,sokuwa,insulting
,,Kidahuma,insulting
,,Doluwa,insulting
,,Wawiya,insulting
,,Jahila,insulting
,,Yar akuya,insulting
,,Dakikiya,insulting
,,Mahaukaciya,insulting
,,Karuwa,insulting
,,Yar bariki,insulting
,,Yar tasha,insulting
,,Daqiqiya,insulting
,,Guntuwa,insulting
,,Yar wahala,insulting
,,Yar duniya,insulting
,,Ballagaza,insulting
,,Kazama,insulting
,,Yar shegiya,insulting
,,Yar Jagaliya,insulting
,,Yar ta'adda,insulting
,,Yar akuya,"comparison to animal, hate"
,,Yar kauye,insulting
,,Bagidajiya,insulting
,,Malalaciya,insulting
,,Marowaciya,insulting
,,Bakuwar haure,insulting
,,Yar baki,insulting